name,price,url
Mavala Scientifique Durcisseur D´ongles Mavala,77,20,http://www.epocacosmeticos.com.br/mavala-scientifique-durcisseur-d-ongles-mavala-endurecedor-de-unhas/p
Esmalte Entre No Ritmo Vult,7,30,http://www.epocacosmeticos.com.br/esmalte-entre-no-ritmo-vult-esmalte/p
Gio Antonelli Poder da Cor Colorama,5,30,http://www.epocacosmeticos.com.br/gio-antonelli-poder-da-cor-colorama-esmalte/p
Color Show Tons de Vermelho Maybelline,6,80,http://www.epocacosmeticos.com.br/color-show-tons-de-vermelho-maybelline-esmalte/p
Mavala Stop Mavala,77,00,http://www.epocacosmeticos.com.br/mavala-stop-mavala-tratamento-para-unhas-roidas/p
Esmalte Cremoso Qual O Seu Nude? Vult,7,30,http://www.epocacosmeticos.com.br/esmalte-cremoso-qual-o-seu-nude-vult-esmalte/p
Óleo Secante Melaleuca Impala,6,70,http://www.epocacosmeticos.com.br/oleo-secante-melaleuca-impala-esmalte-de-tratamento/p
Color Show Tons de Rosa Maybelline,6,80,http://www.epocacosmeticos.com.br/color-show-tons-de-rosas-maybelline-esmalte/p
Mavala Mini Color 5ml,24,30,http://www.epocacosmeticos.com.br/mavala-mini-color-5ml-esmalte-cremoso/p
Unhas Postiças Auto Colantes Bisou,19,90,http://www.epocacosmeticos.com.br/unhas-posticas-auto-colantes-45-make-a-wish-bisou-unhas-posticas/p
Clean My Nails To Go Océane,7,20,http://www.epocacosmeticos.com.br/clean-my-nails-to-go-oceane-lencos-removedores-de-esmalte/p
French Manicure Dior,75,90,http://www.epocacosmeticos.com.br/french-manicure-dior-caneta-para-aplicacao-de-francesinha/p
So Laque Glossy Bourjois,24,90,http://www.epocacosmeticos.com.br/so-laque-glossy-bourjois-esmalte/p
